,precision,recall,f1-score,accuracy,support
apple,0.76,0.85,0.8,0.85,33.0
empty,0.93,0.97,0.95,0.97,39.0
moustache,0.64,0.72,0.68,0.72,47.0
mouth,0.76,0.7,0.73,0.7,50.0
mug,0.97,0.79,0.87,0.79,43.0
nail,0.57,0.61,0.59,0.61,41.0
nose,0.53,0.67,0.59,0.67,12.0
octagon,0.89,0.8,0.84,0.8,50.0
paintbrush,0.47,0.5,0.48,0.5,32.0
panda,0.8,0.77,0.78,0.77,26.0
parrot,0.54,0.41,0.47,0.41,17.0
peanut,0.75,0.53,0.62,0.53,17.0
pear,0.64,0.5,0.56,0.5,14.0
pencil,0.61,0.7,0.66,0.7,27.0
penguin,0.81,0.79,0.8,0.79,43.0
pillow,0.67,0.84,0.74,0.84,19.0
pineapple,0.85,0.96,0.9,0.96,49.0
pool,0.71,0.71,0.71,0.71,55.0
rabbit,0.67,0.56,0.61,0.56,39.0
rhinoceros,0.86,0.57,0.69,0.57,21.0
rifle,0.59,0.77,0.67,0.77,44.0
rollerskates,0.69,0.86,0.77,0.86,21.0
sailboat,0.79,0.76,0.78,0.76,34.0
scorpion,0.64,0.81,0.72,0.81,42.0
screwdriver,0.59,0.43,0.5,0.43,23.0
shovel,0.72,0.62,0.67,0.62,29.0
sink,0.8,0.64,0.71,0.64,25.0
skateboard,0.84,0.84,0.84,0.84,50.0
skull,0.8,0.96,0.87,0.96,25.0
spoon,0.5,0.31,0.38,0.31,13.0
squiggle,0.4,0.3,0.34,0.3,20.0
average,0.7,0.69,0.69,0.69,32.26
weighted average,0.73,0.72,0.72,0.72,32.26
