,precision,recall,f1-score,accuracy,support
apple,0.95,0.93,0.94,0.93,224.0
empty,0.92,1.0,0.96,1.0,187.0
moustache,0.89,0.86,0.88,0.86,277.0
mouth,0.89,0.94,0.92,0.94,341.0
mug,0.94,0.91,0.93,0.91,227.0
nail,0.91,0.86,0.88,0.86,233.0
nose,0.96,0.91,0.93,0.91,121.0
octagon,0.92,0.92,0.92,0.92,288.0
paintbrush,0.9,0.84,0.87,0.84,164.0
panda,0.9,0.86,0.88,0.86,118.0
parrot,0.8,0.85,0.83,0.85,130.0
peanut,0.91,0.79,0.84,0.79,127.0
pear,0.83,0.88,0.86,0.88,113.0
pencil,0.9,0.84,0.87,0.84,164.0
penguin,0.92,0.9,0.91,0.9,200.0
pillow,0.87,0.85,0.86,0.85,164.0
pineapple,0.94,0.97,0.96,0.97,282.0
pool,0.9,0.86,0.88,0.86,309.0
rabbit,0.94,0.9,0.92,0.9,200.0
rhinoceros,0.88,0.82,0.85,0.82,135.0
rifle,0.8,0.91,0.85,0.91,280.0
rollerskates,0.94,0.93,0.94,0.93,172.0
sailboat,0.92,0.98,0.94,0.98,255.0
scorpion,0.88,0.93,0.91,0.93,222.0
screwdriver,0.86,0.8,0.83,0.8,111.0
shovel,0.86,0.9,0.88,0.9,148.0
sink,0.86,0.9,0.88,0.9,153.0
skateboard,0.9,0.92,0.91,0.92,268.0
skull,0.96,0.93,0.95,0.93,166.0
spoon,0.82,0.78,0.8,0.78,120.0
squiggle,0.84,0.75,0.79,0.75,101.0
average,0.89,0.88,0.89,0.88,193.55
weighted average,0.9,0.9,0.9,0.9,193.55
